strategy,phase,initial_capital,final_nav,return,max_drawdown,trades,win_rate,mean_trade,average_win,average_loss,profit_factor,daily_mean,daily_std,unresolved,cash_if_open_positions_worth_zero,fees,skips
momentum_20,0,100000,68782.11664646238,-0.31217883353537623,-0.39337397349106473,124,0.3467741935483871,-0.015241609143525372,0.04948022815897467,-0.049600115365840206,0.520212155578228,-0.004075126287695216,0.02090817329576921,0,68782.11664646238,2232.8404481182356,"{'lot_or_cash': 5, 'gap': 1}"
momentum_20,1,100000,60638.64384830463,-0.3936135615169537,-0.47057522540668717,116,0.33620689655172414,-0.022183350640959172,0.044055205123927244,-0.05573274901538216,0.41218427563497845,-0.00550701420964606,0.02131942503671725,0,60638.64384830463,2039.6651475879053,"{'gap': 4, 'lot_or_cash': 5}"
momentum_20,2,100000,88286.27395832087,-0.11713726041679129,-0.23141925594760426,118,0.3898305084745763,-0.0038647770337008076,0.0619350120394858,-0.04590353116379225,0.8134017890974269,-0.0012288182637429322,0.020317866200474086,0,88286.27395832087,2331.983576523129,"{'gap': 4, 'lot_or_cash': 2, 'occupied': 1}"
liquidity,0,100000,92872.1677756875,-0.07127832224312503,-0.17732720404198865,105,0.3904761904761905,-0.002315540225550871,0.057489854380926506,-0.04062837114532544,0.8334312041676819,-0.0007062461410005583,0.016981427171875025,0,92872.1677756875,1940.9327241031199,"{'lot_or_cash': 20, 'gap': 5}"
liquidity,1,100000,88748.82937541368,-0.11251170624586315,-0.1934709737147431,100,0.41,-0.005744307091484605,0.051893780855192,-0.045797893630700554,0.7503234702346184,-0.001225153965236889,0.017088892043437727,0,88748.82937541368,1860.1067874430566,"{'lot_or_cash': 19, 'gap': 6}"
liquidity,2,100000,89993.86142780664,-0.10006138572193357,-0.12348163825913583,101,0.44554455445544555,-0.006197391316148768,0.04730711869214059,-0.04919208685852415,0.7804343159912773,-0.00105723502380983,0.017547904022820852,0,89993.86142780664,1864.9326849975298,"{'gap': 6, 'lot_or_cash': 18}"
legacy_leaders,0,100000,100056.54401076557,0.0005654401076558013,-0.11236906276129643,66,0.45454545454545453,0.0008684762406093758,0.046334604707093684,-0.03701996414812755,1.0021841383433474,7.620593402258629e-05,0.011919405753482899,0,100056.54401076557,1332.042729237402,{'lot_or_cash': 1}
legacy_leaders,1,100000,104333.1641225825,0.04333164122582511,-0.055807947077465614,57,0.45614035087719296,0.005452542793409366,0.04928233308372511,-0.03130792648233933,1.2462887248110142,0.0005226865596652287,0.008449217969483776,0,104333.1641225825,1097.1657160896398,{'lot_or_cash': 2}
legacy_leaders,2,100000,91583.05616,-0.08416943840000002,-0.11068981220856611,43,0.4186046511627907,-0.010434589634017395,0.029580858514971442,-0.03924571230128936,0.5279186594732563,-0.0009770487304905156,0.008149501271081437,0,91583.05616,820.94384,"{'gap': 2, 'lot_or_cash': 2}"
legacy_pullback,0,100000,99162.44830000005,-0.0083755169999995,-0.09325395638099732,57,0.42105263157894735,-0.00045823790499675084,0.03935837174254142,-0.029415772194115425,0.9547594368605066,-4.947743292408822e-05,0.009779459042113333,0,99162.44830000005,1130.5517000000002,{'lot_or_cash': 1}
legacy_pullback,1,100000,89820.28432551504,-0.10179715674484968,-0.12150038303559285,55,0.41818181818181815,-0.010448635541668923,0.018041744384485005,-0.03092609611359206,0.42451452545160334,-0.0012061670952169014,0.007387985560097105,0,89820.28432551504,1055.6371999780017,{}
legacy_pullback,2,100000,91635.26686154722,-0.08364733138452773,-0.09638884309234474,38,0.39473684210526316,-0.011630052372708121,0.018040623724492135,-0.030980493305664814,0.36853495697198063,-0.0009881828570243376,0.005567764791522975,0,91635.26686154722,738.1869814599335,{'lot_or_cash': 1}
legacy_golden_pit,0,100000,98142.93065999998,-0.01857069340000017,-0.05308865101796756,22,0.5454545454545454,-0.0030799648714590466,0.03219410483844053,-0.04540884852333855,0.7951492285953802,-0.00019476762742684218,0.006452856713365987,0,98142.93065999998,439.06934,{}
legacy_golden_pit,1,100000,98783.72171999997,-0.012162782800000271,-0.04364625072095729,12,0.4166666666666667,-0.00545722706855255,0.037530223009015026,-0.03616254855252939,0.7501674414363318,-0.00013261282664985206,0.004046297738984251,0,98783.72171999997,240.27828,{}
legacy_golden_pit,2,100000,101379.45546000001,0.013794554600000009,-0.016283851680250927,13,0.6153846153846154,0.006560558858108931,0.041590917668016425,-0.04948801523774306,1.30249638735945,0.00016483012343835107,0.003860487589866874,0,101379.45546000001,254.54453999999998,{}
